sentiment,time,hashtags
0,1421699561,EFC
0,1421699563,EFC
0,1421699590,EFC
1,1421699594,EFC
0,1421699600,EFC
-3,1421699601,EFC
1,1421699605,EFC
3,1421699610,EFC
0,1421699610,EFC
2,1421699615,EFC
3,1421699615,EFC
-2,1421699623,EFC
-2,1421699623,EFC
0,1421699623,EFC
-2,1421699623,EFC
3,1421699633,EFC
1,1421699641,EFC
0,1421699644,EFC
3,1421699646,EFC
3,1421699649,EFC
3,1421699649,EFC
3,1421699651,EFC
0,1421699661,EFC
0,1421699662,EFC
0,1421699663,
-2,1421699667,EFC
3,1421699667,
0,1421699668,WBA
0,1421699677,EFC
3,1421699685,EFC
2,1421699685,EFC
0,1421699686,
0,1421699686,EFC
3,1421699688,EFC
-1,1421699690,EFC
0,1421699692,
1,1421699693,EFC
0,1421699697,EFC
3,1421699698,EFC
0,1421699703,EFC
3,1421699703,EFC
-1,1421699714,EFC
-4,1421699719,EFC
1,1421699729,EFC
1,1421699734,EFC
3,1421699736,EFC
3,1421699745,EFC
3,1421699746,EFC
-2,1421699761,EFC
0,1421699765,EFC
0,1421699767,Both
0,1421699768,WBA
0,1421699780,Both
3,1421699789,EFC
1,1421699789,EFC
3,1421699792,EFC
2,1421699792,EFC
2,1421699798,EFC
-2,1421699799,Both
0,1421699800,EFC
0,1421699809,EFC
-2,1421699809,EFC
0,1421699814,EFC
2,1421699816,EFC
-6,1421699818,EFC
-3,1421699819,EFC
0,1421699825,EFC
4,1421699829,Both
2,1421699836,EFC
3,1421699842,EFC
2,1421699847,EFC
0,1421699847,EFC
0,1421699848,EFC
2,1421699853,EFC
0,1421699858,EFC
-1,1421699862,EFC
-3,1421699862,EFC
0,1421699864,EFC
0,1421699872,EFC
0,1421699876,EFC
0,1421699876,
-3,1421699880,EFC
0,1421699882,EFC
0,1421699886,Both
0,1421699887,EFC
3,1421699888,EFC
2,1421699891,EFC
0,1421699898,EFC
0,1421699906,WBA
0,1421699907,EFC
0,1421699910,EFC
0,1421699921,EFC
0,1421699921,EFC
-2,1421699923,EFC
1,1421699923,EFC
0,1421699931,EFC
2,1421699933,EFC
-2,1421699934,EFC
-3,1421699935,EFC
4,1421699935,EFC
2,1421699936,EFC
0,1421699936,EFC
1,1421699941,EFC
0,1421699944,EFC
0,1421699947,EFC
0,1421699952,EFC
0,1421699953,EFC
-2,1421699956,EFC
0,1421699958,EFC
2,1421699961,EFC
-1,1421699965,EFC
2,1421699967,EFC
3,1421699970,EFC
0,1421699970,WBA
5,1421699974,EFC
0,1421699976,EFC
-2,1421699986,WBA
-3,1421699995,EFC
2,1421699996,EFC
0,1421700002,EFC
-2,1421700003,EFC
0,1421700005,EFC
3,1421700006,EFC
6,1421700007,EFC
0,1421700009,EFC
0,1421700009,EFC
0,1421700013,EFC
-3,1421700014,EFC
0,1421700016,EFC
-2,1421700018,EFC
-2,1421700027,EFC
0,1421700028,EFC
-4,1421700031,EFC
0,1421700035,EFC
-3,1421700035,EFC
-2,1421700042,EFC
0,1421700044,WBA
0,1421700045,WBA
0,1421700045,EFC
0,1421700051,EFC
-4,1421700053,EFC
0,1421700063,EFC
0,1421700063,
-2,1421700072,EFC
2,1421700072,EFC
3,1421700079,
3,1421700087,EFC
0,1421700089,
1,1421700090,EFC
-1,1421700090,EFC
3,1421700094,EFC
-4,1421700098,EFC
-3,1421700098,EFC
-1,1421700100,EFC
3,1421700100,EFC
6,1421700103,EFC
-5,1421700104,EFC
2,1421700107,EFC
1,1421700113,
5,1421700113,EFC
1,1421700114,EFC
-1,1421700115,EFC
0,1421700118,EFC
3,1421700122,EFC
0,1421700123,
0,1421700124,EFC
0,1421700129,EFC
-4,1421700139,EFC
0,1421700139,WBA
0,1421700144,EFC
3,1421700145,EFC
4,1421700146,EFC
0,1421700147,EFC
0,1421700158,EFC
3,1421700159,EFC
0,1421700172,EFC
-2,1421700173,EFC
-2,1421700181,EFC
-2,1421700183,EFC
0,1421700183,EFC
4,1421700185,Both
3,1421700186,
1,1421700187,EFC
1,1421700187,EFC
-2,1421700188,EFC
-2,1421700193,EFC
-4,1421700194,EFC
1,1421700195,EFC
-2,1421700196,EFC
3,1421700197,
0,1421700198,EFC
0,1421700198,EFC
3,1421700201,
7,1421700202,EFC
3,1421700202,EFC
3,1421700203,EFC
-4,1421700204,EFC
0,1421700204,EFC
5,1421700206,EFC
2,1421700207,EFC
3,1421700208,EFC
0,1421700209,EFC
-1,1421700210,EFC
2,1421700212,EFC
-3,1421700212,
0,1421700212,EFC
3,1421700213,
0,1421700214,EFC
-2,1421700214,EFC
-2,1421700215,EFC
-2,1421700215,EFC
-2,1421700215,EFC
-2,1421700216,EFC
0,1421700218,EFC
0,1421700219,EFC
-5,1421700219,WBA
3,1421700221,
3,1421700221,
-4,1421700223,EFC
0,1421700224,EFC
0,1421700224,EFC
0,1421700224,EFC
3,1421700224,
0,1421700225,WBA
-2,1421700226,EFC
0,1421700231,EFC
-2,1421700233,EFC
2,1421700235,EFC
3,1421700236,
1,1421700237,EFC
3,1421700238,
-2,1421700238,EFC
1,1421700240,EFC
0,1421700242,EFC
0,1421700243,EFC
0,1421700244,EFC
0,1421700245,EFC
0,1421700245,Both
0,1421700245,EFC
-6,1421700245,EFC
3,1421700246,
3,1421700247,EFC
0,1421700247,EFC
-4,1421700248,EFC
0,1421700249,EFC
0,1421700249,
0,1421700249,EFC
-4,1421700249,EFC
2,1421700251,EFC
-2,1421700252,EFC
0,1421700255,EFC
-2,1421700256,EFC
-6,1421700256,EFC
0,1421700256,EFC
-6,1421700257,EFC
0,1421700258,EFC
0,1421700258,EFC
-2,1421700259,EFC
-6,1421700259,EFC
0,1421700259,EFC
-6,1421700259,EFC
0,1421700259,EFC
-2,1421700259,EFC
-2,1421700260,EFC
-4,1421700260,EFC
-6,1421700260,EFC
0,1421700261,EFC
3,1421700262,
-2,1421700262,EFC
3,1421700262,
3,1421700262,
2,1421700264,EFC
3,1421700264,EFC
0,1421700264,EFC
-6,1421700264,EFC
0,1421700264,EFC
3,1421700264,
2,1421700265,EFC
-6,1421700265,EFC
0,1421700265,EFC
-4,1421700266,EFC
1,1421700266,EFC
-6,1421700266,EFC
0,1421700266,EFC
